name,|V|,gir,bip,CayTy,|G_v|,solv,rad,AtNo,AtTy,AltExp,AltPer,AltSeq,CCa,CCb,MetaCircTy
HAT[160;4],160,4,b,Cay,2,solv,40,40,tight,1,4,[40],4,16,{2}
HAT[160;5],160,8,b,Cay,2,solv,40,40,tight,1,4,[40],8,16,{2}
HAT[160;6],160,4,b,Cay,2,solv,20,10,---,2,4,[20;40],4,8,{}
HAT[160;7],160,4,b,Cay,2,solv,40,40,tight,1,4,[40],4,16,{2}
HAT[160;8],160,8,b,Cay,2,solv,40,40,tight,1,4,[40],8,16,{2}
HAT[160;9],160,4,b,Cay,2,solv,10,5,---,3,4,[10;20;40],4,8,{}
HAT[162;1],162,6,b,Cay,2,solv,9,9,tight,1,18,[9],18,18,{2;4}
HAT[162;2],162,6,b,Cay,2,solv,27,27,tight,1,6,[27],6,54,{1;2;3;4}
HAT[162;3],162,6,b,Cay,2,solv,9,3,---,2,6,[9;27],6,18,{}
HAT[164;1],164,8,b,n-Cay,2,solv,41,41,tight,1,4,[41],8,8,{2}
HAT[165;1],165,6,nb,Cay,2,solv,11,11,tight,1,15,[11],15,30,{2}
HAT[165;2],165,6,nb,Cay,2,solv,11,11,tight,1,15,[11],15,30,{2}
HAT[165;3],165,7,nb,Cay,2,solv,33,33,tight,1,5,[33],10,15,{2;4}
HAT[165;4],165,6,nb,Cay,2,solv,33,33,tight,1,5,[33],10,15,{2;4}
HAT[168;1],168,8,nb,Cay,2,solv,6,3,---,3,7,[6;12;24],14,21,{}
HAT[168;2],168,6,b,Cay,2,solv,14,7,---,2,6,[14;28],6,6,{}
HAT[168;3],168,6,b,Cay,2,solv,7,7,tight,1,24,[7],24,24,{2}
HAT[168;4],168,8,b,Cay,2,solv,14,14,tight,1,12,[14],12,12,{2;4}
HAT[168;5],168,8,b,Cay,2,solv,14,14,tight,1,12,[14],24,24,{2;4}
HAT[168;6],168,6,b,Cay,2,solv,28,28,tight,1,6,[28],6,24,{2;4}
HAT[168;7],168,8,b,Cay,2,solv,28,28,tight,1,6,[28],12,24,{2;4}
HAT[168;8],168,8,b,Cay,2,solv,28,28,tight,1,6,[28],12,24,{2;4}
HAT[168;9],168,3,nb,Cay,2,solv,28,14,---,2,3,[28;56],3,12,{}
HAT[168;10],168,6,nb,Cay,2,solv,28,14,---,2,3,[28;56],6,12,{}
HAT[171;1],171,6,nb,Cay,2,solv,19,19,tight,1,9,[19],9,18,{2}
HAT[171;2],171,6,nb,Cay,2,solv,19,19,tight,1,9,[19],9,18,{2}
HAT[171;3],171,8,nb,Cay,2,solv,19,19,tight,1,9,[19],9,18,{2}
HAT[171;4],171,6,nb,Cay,2,solv,19,19,tight,1,9,[19],9,18,{2}
HAT[171;5],171,3,nb,Cay,2,solv,57,57,tight,1,3,[57],3,6,{2}
HAT[180;1],180,6,b,Cay,2,solv,15,15,tight,1,12,[15],12,12,{2;4}
HAT[180;2],180,4,b,Cay,2,solv,45,45,tight,1,4,[45],4,36,{2;4}
HAT[183;1],183,3,nb,Cay,2,solv,61,61,tight,1,3,[61],3,6,{2}
HAT[186;1],186,6,b,Cay,2,solv,31,31,tight,1,6,[31],6,6,{2}
HAT[189;1],189,6,nb,Cay,2,solv,7,7,tight,1,27,[7],27,54,{2}
HAT[189;2],189,6,nb,Cay,2,solv,21,21,tight,1,9,[21],9,18,{2;4}
HAT[189;3],189,6,nb,Cay,2,solv,63,63,tight,1,3,[63],6,9,{2}
HAT[189;4],189,3,nb,Cay,2,solv,21,7,---,2,3,[21;63],3,6,{}
HAT[189;5],189,6,nb,Cay,2,solv,9,9,tight,1,21,[9],42,63,{1;2;4}
HAT[189;6],189,6,nb,Cay,2,solv,63,63,tight,1,3,[63],6,9,{2}
HAT[189;7],189,6,nb,Cay,2,solv,63,63,tight,1,3,[63],6,63,{1;2;4}
HAT[189;8],189,6,nb,Cay,2,solv,63,63,tight,1,3,[63],6,9,{2}
HAT[192;1],192,6,b,Cay,2,solv,4,1,loose,3,6,[4;16;32],6,12,{}
HAT[192;2],192,6,b,Cay,2,solv,6,1,loose,2,2,[6;96],6,8,{}
HAT[192;3],192,4,b,Cay,2,solv,6,1,loose,2,2,[6;96],4,6,{}
HAT[192;4],192,6,b,Cay,2,solv,4,1,loose,2,6,[4;32],6,12,{}
HAT[192;5],192,8,b,Cay,2,solv,12,3,---,2,4,[12;48],16,48,{1;3;4}
HAT[195;1],195,6,nb,Cay,2,solv,13,13,tight,1,15,[13],15,30,{2}
HAT[195;2],195,6,nb,Cay,2,solv,65,65,tight,1,3,[65],6,15,{2;4}
HAT[200;1],200,8,b,Cay,2,solv,5,1,loose,2,8,[5;25],8,40,{4}
HAT[200;2],200,4,b,Cay,2,solv,10,2,antipodal,2,4,[10;50],4,20,{4}
HAT[200;3],200,8,b,Cay,2,solv,10,2,antipodal,2,4,[10;50],8,40,{4}
HAT[201;1],201,3,nb,Cay,2,solv,67,67,tight,1,3,[67],3,6,{2}
HAT[203;1],203,6,nb,Cay,2,solv,29,29,tight,1,7,[29],7,14,{2}
HAT[203;2],203,7,nb,Cay,2,solv,29,29,tight,1,7,[29],7,14,{2}
HAT[203;3],203,7,nb,Cay,2,solv,29,29,tight,1,7,[29],7,14,{2}
HAT[204;1],204,4,b,Cay,2,solv,51,51,tight,1,4,[51],4,12,{2;4}
HAT[204;2],204,6,b,n-Cay,2,solv,17,17,tight,1,12,[17],24,24,{2}
HAT[205;1],205,5,nb,Cay,2,solv,41,41,tight,1,5,[41],5,10,{2}
HAT[205;2],205,5,nb,Cay,2,solv,41,41,tight,1,5,[41],5,10,{2}
HAT[208;1],208,4,b,Cay,2,solv,52,52,tight,1,4,[52],4,8,{2}
HAT[208;2],208,4,b,Cay,2,solv,52,52,tight,1,4,[52],4,8,{2}
HAT[210;1],210,6,b,Cay,2,solv,7,7,tight,1,30,[7],30,30,{2}
HAT[210;2],210,6,b,Cay,2,solv,35,35,tight,1,6,[35],6,30,{2;4}
HAT[216;1],216,6,b,Cay,2,solv,3,1,loose,3,8,[3;9;27],8,24,{}
HAT[216;2],216,8,b,Cay,2,solv,4,1,loose,2,6,[4;36],12,24,{}
HAT[216;3],216,8,b,Cay,2,solv,12,3,---,2,2,[12;108],8,12,{}
HAT[216;4],216,4,b,Cay,2,solv,12,3,---,2,2,[12;108],4,24,{}
HAT[216;5],216,6,nb,Cay,2,solv,6,1,loose,2,1,[6;216],6,8,{}
HAT[216;6],216,3,nb,Cay,2,solv,6,1,loose,2,1,[6;216],3,8,{}
HAT[216;7],216,6,b,Cay,2,solv,9,3,---,2,6,[9;36],12,18,{}
HAT[216;8],216,6,b,Cay,2,solv,18,9,---,2,6,[18;36],6,18,{}
HAT[216;9],216,8,b,Cay,2,solv,4,1,loose,2,2,[4;108],8,12,{}
HAT[216;10],216,4,b,Cay,2,solv,12,3,---,2,2,[12;108],4,8,{}
HAT[216;11],216,8,b,Cay,2,solv,12,3,---,2,2,[12;108],8,12,{}
HAT[216;12],216,6,b,Cay,2,solv,9,9,tight,1,24,[9],24,72,{1;2;3;4}
HAT[216;13],216,8,b,Cay,2,solv,18,18,tight,1,12,[18],12,36,{1;2;3;4}
HAT[216;14],216,8,b,Cay,2,solv,18,18,tight,1,12,[18],24,72,{1;2;3;4}
HAT[216;15],216,6,b,Cay,2,solv,36,36,tight,1,6,[36],6,72,{1;2;3;4}
HAT[216;16],216,8,b,Cay,2,solv,36,36,tight,1,6,[36],18,24,{2;3;4}
HAT[216;17],216,8,b,Cay,2,solv,36,36,tight,1,6,[36],24,36,{1;2;3;4}
HAT[216;18],216,8,b,Cay,2,solv,36,36,tight,1,6,[36],12,72,{1;2;3;4}
HAT[216;19],216,6,nb,Cay,2,solv,36,18,---,2,3,[36;72],9,12,{}
HAT[216;20],216,6,nb,Cay,2,solv,36,18,---,2,3,[36;72],12,18,{}
HAT[216;21],216,6,nb,Cay,2,solv,18,6,---,2,3,[18;72],18,24,{}
HAT[216;22],216,6,nb,Cay,2,solv,18,6,---,2,3,[18;72],9,24,{}
HAT[219;1],219,3,nb,Cay,2,solv,73,73,tight,1,3,[73],3,6,{2}
HAT[220;1],220,6,b,Cay,2,solv,11,11,tight,1,20,[11],20,20,{2}
HAT[220;2],220,6,b,Cay,2,solv,11,11,tight,1,20,[11],20,20,{2}
HAT[220;3],220,4,b,Cay,2,solv,55,55,tight,1,4,[55],4,44,{2;4}
HAT[220;4],220,8,b,Cay,2,solv,22,22,tight,1,10,[22],10,20,{2;4}
HAT[220;5],220,8,b,Cay,2,solv,22,22,tight,1,10,[22],10,20,{2;4}
HAT[220;6],220,8,b,Cay,2,solv,22,22,tight,1,10,[22],10,20,{2;4}
HAT[220;7],220,8,b,Cay,2,solv,22,22,tight,1,10,[22],10,20,{2;4}
HAT[222;1],222,6,b,Cay,2,solv,37,37,tight,1,6,[37],6,6,{2}
HAT[222;2],222,6,b,n-Cay,2,solv,37,37,tight,1,6,[37],12,12,{2}
HAT[228;1],228,3,nb,Cay,2,solv,38,19,---,2,3,[38;76],3,6,{}
HAT[228;2],228,6,b,Cay,2,solv,19,19,tight,1,12,[19],12,12,{2}
HAT[228;3],228,6,b,Cay,2,solv,38,38,tight,1,6,[38],6,12,{2;4}
HAT[228;4],228,6,b,Cay,2,solv,38,38,tight,1,6,[38],6,12,{2;4}
HAT[231;1],231,6,nb,Cay,2,solv,7,7,tight,1,33,[7],33,66,{2}
HAT[231;2],231,6,nb,Cay,2,solv,77,77,tight,1,3,[77],6,33,{2;4}
HAT[234;1],234,6,b,Cay,2,solv,13,13,tight,1,18,[13],18,18,{2}
HAT[234;2],234,6,b,Cay,2,solv,39,39,tight,1,6,[39],6,6,{2}
HAT[234;3],234,6,b,Cay,2,solv,39,39,tight,1,6,[39],6,6,{2}
HAT[234;4],234,6,b,n-Cay,2,solv,13,13,tight,1,18,[13],36,36,{2}
HAT[237;1],237,3,nb,Cay,2,solv,79,79,tight,1,3,[79],3,6,{2}
HAT[240;1],240,6,nb,Cay,2,solv,5,1,loose,2,3,[5;80],6,15,{}
HAT[240;2],240,4,b,Cay,2,solv,15,5,---,2,4,[15;60],4,12,{}
HAT[240;3],240,6,b,Cay,2,solv,15,15,tight,1,16,[15],16,48,{2;4}
HAT[240;4],240,8,b,Cay,2,solv,30,30,tight,1,8,[30],8,24,{2;4}
HAT[240;5],240,8,b,Cay,2,solv,30,30,tight,1,8,[30],16,48,{2;4}
HAT[240;6],240,8,b,Cay,2,solv,20,20,tight,1,12,[20],12,24,{2}
HAT[240;7],240,4,b,Cay,2,solv,60,60,tight,1,4,[60],4,24,{2;4}
HAT[240;8],240,8,b,Cay,2,solv,60,60,tight,1,4,[60],8,12,{2;4}
HAT[240;9],240,8,b,Cay,2,solv,20,20,tight,1,12,[20],12,24,{2}
HAT[240;10],240,8,b,Cay,2,solv,60,60,tight,1,4,[60],8,12,{2;4}
HAT[240;11],240,4,b,Cay,2,solv,60,60,tight,1,4,[60],4,24,{2;4}
HAT[240;12],240,4,b,Cay,2,solv,30,15,---,2,4,[30;60],4,12,{}
HAT[240;13],240,8,b,Cay,2,solv,30,15,---,2,4,[30;60],8,24,{}
HAT[243;1],243,6,nb,Cay,2,solv,9,9,tight,1,27,[9],27,54,{2;4}
HAT[243;2],243,8,nb,Cay,2,solv,27,27,tight,1,9,[27],18,27,{1;2;4}
HAT[243;3],243,8,nb,Cay,2,solv,27,27,tight,1,9,[27],18,27,{2;4}
HAT[243;4],243,8,nb,Cay,2,solv,27,27,tight,1,9,[27],18,27,{2;4}
HAT[243;5],243,6,nb,Cay,2,solv,27,27,tight,1,9,[27],18,27,{2;4}
HAT[243;6],243,6,nb,Cay,2,solv,81,81,tight,1,3,[81],6,81,{1;2;4}
HAT[243;7],243,6,nb,Cay,2,solv,9,3,---,2,3,[9;81],9,18,{}
HAT[243;8],243,6,nb,Cay,2,solv,3,1,loose,2,3,[3;81],9,18,{}
HAT[243;9],243,3,nb,Cay,2,solv,9,3,---,2,3,[9;81],3,18,{}
HAT[243;10],243,6,nb,Cay,2,solv,9,3,---,2,3,[9;81],9,18,{}
HAT[243;11],243,6,nb,Cay,2,solv,9,1,loose,2,3,[9;81],6,9,{}
HAT[250;1],250,8,b,Cay,2,solv,25,25,tight,1,10,[25],10,50,{1;2;3;4}
HAT[250;2],250,8,b,Cay,2,solv,25,25,tight,1,10,[25],10,50,{1;2;3;4}
HAT[250;3],250,8,b,n-Cay,2,solv,25,25,tight,1,10,[25],20,20,{2}
HAT[250;4],250,6,b,n-Cay,2,solv,25,25,tight,1,10,[25],20,20,{2}
HAT[252;1],252,6,nb,Cay,2,solv,14,7,---,2,9,[14;28],9,18,{}
HAT[252;2],252,3,nb,Cay,2,solv,21,7,---,2,3,[21;84],3,12,{}
HAT[252;3],252,3,nb,Cay,2,solv,42,21,---,2,3,[42;84],3,6,{}
HAT[252;4],252,6,b,Cay,2,solv,7,7,tight,1,36,[7],36,36,{2}
HAT[252;5],252,6,b,Cay,2,solv,21,21,tight,1,12,[21],12,12,{2}
HAT[252;6],252,6,b,Cay,2,solv,21,21,tight,1,12,[21],12,12,{2}
HAT[252;7],252,8,b,Cay,2,solv,14,14,tight,1,18,[14],18,36,{2;4}
HAT[252;8],252,8,b,Cay,2,solv,14,14,tight,1,18,[14],18,36,{2;4}
HAT[252;9],252,6,b,Cay,2,solv,42,42,tight,1,6,[42],6,12,{2;4}
HAT[252;10],252,6,b,Cay,2,solv,42,42,tight,1,6,[42],6,12,{2;4}
HAT[252;11],252,6,b,Cay,2,solv,42,42,tight,1,6,[42],6,12,{2;4}
HAT[253;1],253,6,nb,Cay,2,solv,23,23,tight,1,11,[23],11,22,{2}
HAT[253;2],253,8,nb,Cay,2,solv,23,23,tight,1,11,[23],11,22,{2}
HAT[253;3],253,8,nb,Cay,2,solv,23,23,tight,1,11,[23],11,22,{2}
HAT[253;4],253,8,nb,Cay,2,solv,23,23,tight,1,11,[23],11,22,{2}
HAT[253;5],253,8,nb,Cay,2,solv,23,23,tight,1,11,[23],11,22,{2}
HAT[256;1],256,8,b,Cay,2,solv,16,16,tight,1,16,[16],16,32,{2;4}
